tier,start_s,end_s,text
Game events,0.0,73.329,Level 2
Gaze Parent,0.0,2.563,Counter
Gaze Parent,2.571,3.381,Further
Gaze Parent,3.381,4.205,Counter
Gaze Parent,4.205,4.709,Ball
Gaze Parent,4.716,4.984,Counter
Gaze Parent,4.991,11.755,Further
Gaze Parent,11.755,11.961,My controller
Gaze Parent,11.968,15.93,Further
Gaze Parent,15.93,16.007,Ball
Gaze Parent,16.011,16.343,My controller
Gaze Parent,16.346,17.149,Partner's controller
Gaze Parent,17.152,17.656,Go
Gaze Parent,17.656,18.216,My controller
Gaze Parent,18.216,19.268,Intersection
Gaze Parent,19.268,19.628,Ball
Gaze Parent,19.631,20.471,Go
Gaze Parent,20.474,21.699,Ball
Gaze Parent,21.699,22.542,Intersection
Gaze Parent,22.542,23.138,Ball
Gaze Parent,23.138,23.37,Partner's controller
Gaze Parent,23.37,23.632,My controller
Gaze Parent,23.632,24.473,Go
Gaze Parent,24.473,25.595,Ball
Gaze Parent,25.597,25.895,Further
Gaze Parent,25.896,26.952,Go
Gaze Parent,26.952,27.116,Ball
Gaze Parent,27.116,27.419,My controller
Gaze Parent,27.421,28.846,Intersection
Gaze Parent,28.847,29.512,My axis
Gaze Parent,29.512,29.835,Ball
Gaze Parent,29.835,30.316,My controller
Gaze Parent,30.316,30.837,Ball
Gaze Parent,30.837,31.66,Go
Gaze Parent,31.817,32.47,Intersection
Gaze Parent,32.654,33.061,Intersection
Gaze Parent,33.061,33.235,My controller
Gaze Parent,33.235,34.564,Intersection
Gaze Parent,34.567,34.987,Go
Gaze Parent,34.988,36.731,Ball
Gaze Parent,36.731,37.103,My controller
Gaze Parent,37.103,42.592,Intersection
Gaze Parent,42.596,42.834,Ball
Gaze Parent,42.834,42.976,Go
Gaze Parent,42.979,43.644,Ball
Gaze Parent,43.644,45.251,Further
Gaze Parent,45.251,45.604,My controller
Gaze Parent,45.604,46.683,Further
Gaze Parent,46.683,48.427,Intersection
Gaze Parent,48.43,49.949,My axis
Gaze Parent,49.949,50.091,Parter's axis
Gaze Parent,50.094,51.212,Intersection
Gaze Parent,51.215,51.411,Ball
Gaze Parent,51.414,51.578,Ball's possible trajectory
Gaze Parent,51.583,54.939,Intersection
Gaze Parent,54.939,55.794,Ball
Gaze Parent,55.794,56.773,Intersection
Gaze Parent,56.774,57.027,Ball
Gaze Parent,57.027,58.79,Further
Gaze Parent,58.79,59.388,My controller
Gaze Parent,59.392,60.595,Further
Gaze Parent,60.6,60.82,My axis
Gaze Parent,60.82,62.102,Further
Gaze Parent,62.102,63.268,Intersection
Gaze Parent,63.268,64.164,Further
Gaze Parent,64.164,64.815,Intersection
Gaze Parent,64.815,66.724,Further
