tier,start_s,end_s,text
Gaze Parent,66.724,66.952,Child
Gaze Parent,66.956,67.575,My controller
Gaze Parent,67.575,68.015,Further
Gaze Parent,68.015,68.558,Intersection
Gaze Parent,68.558,68.911,My controller
Gaze Parent,68.911,69.181,Further
Gaze Parent,69.185,72.118,Intersection
Gaze Parent,72.122,73.065,Go
Gaze Parent,73.069,73.329,Ball's trajectory
Gaze Child,0.0,3.433,Counter
Gaze Child,3.815,4.042,Ball
Gaze Child,4.047,4.199,Partner's controller
Gaze Child,4.2,4.492,Counter
Gaze Child,4.494,4.979,My controller
Gaze Child,4.981,5.162,Ball
Gaze Child,5.164,5.317,My controller
Gaze Child,5.317,5.841,Partner's controller
Gaze Child,5.841,5.957,Ball
Gaze Child,5.97,7.456,Further
Gaze Child,7.46,8.365,Go
Gaze Child,8.365,8.685,Ball
Gaze Child,8.688,9.242,Go
Gaze Child,9.246,9.734,Further
Gaze Child,9.734,9.966,Ball
Gaze Child,9.966,13.652,Further
Gaze Child,13.652,14.62,Go
Gaze Child,14.625,14.975,Further
Gaze Child,14.975,15.27,Ball
Gaze Child,15.27,17.181,Further
Gaze Child,17.181,17.719,My controller
Gaze Child,17.723,19.8,Intersection
Gaze Child,19.8,20.293,Further
Gaze Child,20.297,20.589,Go
Gaze Child,20.593,21.145,Ball
Gaze Child,21.145,21.486,Go
Gaze Child,21.49,21.674,Ball
Gaze Child,21.679,22.019,Go
Gaze Child,22.019,22.347,Intersection
Gaze Child,22.347,23.347,Further
Gaze Child,23.347,24.033,Ball
Gaze Child,24.037,24.827,Partner's axis
Gaze Child,24.827,25.037,Partner's controller
Gaze Child,25.037,25.67,Ball
Gaze Child,25.67,25.831,Further
Gaze Child,25.835,26.149,Ball
Gaze Child,26.149,27.49,Intersection
Gaze Child,27.495,27.862,Ball
Gaze Child,27.862,28.042,Partner's axis
Gaze Child,28.046,28.208,Partner's controller
Gaze Child,28.208,28.562,Intersection
Gaze Child,28.562,29.001,Partner's axis
Gaze Child,29.001,29.445,My controller
Gaze Child,29.445,29.67,Ball
Gaze Child,29.67,29.966,Go
Gaze Child,29.966,31.392,Ball
Gaze Child,31.392,31.804,My controller
Gaze Child,31.827,34.665,Intersection
Gaze Child,34.67,35.055,Partner's axis
Gaze Child,35.055,35.235,Go
Gaze Child,35.239,36.315,Intersection
Gaze Child,36.324,38.131,Further
Gaze Child,38.131,39.297,Intersection
Gaze Child,39.297,41.118,My axis
Gaze Child,41.118,42.463,Intersection
Gaze Child,42.472,42.768,Go
Gaze Child,42.773,44.167,Ball
Gaze Child,44.167,44.858,Further
Gaze Child,44.858,44.916,Ball
Gaze Child,44.916,45.185,Further
Gaze Child,45.185,46.885,Intersection
Gaze Child,46.885,46.938,Ball
Gaze Child,46.938,49.996,Intersection
Gaze Child,50.001,51.333,Intersection
Gaze Child,51.333,51.791,Go
Gaze Child,51.791,52.105,Partner's axis
Gaze Child,52.105,54.365,Intersection
Gaze Child,54.365,55.513,Intersection
Gaze Child,55.517,56.1,Go
Gaze Child,56.105,56.916,Partner's axis
Gaze Child,56.921,58.042,Ball
Gaze Child,58.042,58.62,Further
Gaze Child,58.625,59.109,Ball
Gaze Child,59.109,59.598,Intersection
Gaze Child,59.598,60.652,My axis
Gaze Child,60.652,61.01,My controller
Gaze Child,61.015,62.665,Intersection
Gaze Child,62.665,62.957,Ball's possible trajectory
Gaze Child,62.961,64.351,Intersection
Gaze Child,64.356,64.961,Ball's possible trajectory
Gaze Child,64.966,65.338,Intersection
Gaze Child,65.342,65.795,Further
Gaze Child,65.8,66.073,My axis
Gaze Child,66.078,66.84,Further
Gaze Child,66.844,67.181,My axis
Gaze Child,67.181,71.979,Intersection
Gaze Child,71.979,72.791,Go
Gaze Child,72.795,73.329,Ball's trajectory
Child Gesture,0.964,3.518,Clicks
