tier,start_s,end_s,text
Gaze Child,46.563,54.233,Ball
Gaze Child,54.244,54.925,Further
Gaze Child,54.925,55.398,Ball
Gaze Child,55.398,55.541,My controller
Gaze Child,55.541,56.563,Further
Gaze Child,56.563,64.127,Ball
Gaze Child,64.141,64.648,My controller
Gaze Child,64.653,69.107,Ball
Gaze Child,69.107,70.147,Further
Gaze Child,70.151,75.899,Ball
Gaze Child,75.906,76.992,Further
Gaze Child,76.999,77.476,Ball
Gaze Child,77.476,78.019,My controller
Gaze Child,78.025,78.283,Ball
Gaze Child,78.29,78.476,Further
Gaze Child,78.482,79.317,Partner's controller
Gaze Child,79.317,81.085,Ball
Gaze Child,81.085,81.37,My controller
Gaze Child,81.376,83.038,Ball
Gaze Child,83.045,86.31,Further
Gaze Child,86.31,87.164,Ball
Gaze Child,87.164,87.489,Partner's controller
Gaze Child,87.489,88.529,Ball
Gaze Child,88.529,88.86,Partner's controller
Gaze Child,88.86,90.939,Ball
Gaze Child,90.939,92.548,Further
Gaze Child,92.548,92.84,Ball
Gaze Child,92.84,93.721,Further
Gaze Child,93.721,98.019,Ball
Gaze Child,98.019,99.999,Further
Gaze Child,99.999,100.568,My controller
Gaze Child,100.57,107.479,Ball
Gaze Child,107.481,108.071,My controller
Gaze Child,108.075,111.223,Ball
Gaze Child,111.223,111.694,Partner's controller
Gaze Child,111.703,113.992,Ball
Gaze Child,114.0,114.504,Partner's controller
Gaze Child,114.504,116.033,Ball
Gaze Child,116.033,116.876,My controller
Gaze Child,116.876,127.033,Ball
Gaze Child,127.033,127.67,My controller
Gaze Child,127.67,128.504,Ball
Gaze Child,128.504,128.992,Partner's controller
Gaze Child,128.992,137.926,Ball
Gaze Child,137.926,138.422,My controller
Gaze Child,138.422,139.48,Ball
Gaze Child,139.488,139.885,Partner's controller
Gaze Child,139.888,140.307,Ball
Gaze Child,140.307,140.757,My controller
Gaze Child,140.757,144.531,Ball
Gaze Child,144.531,145.124,Partner's controller
Gaze Child,145.124,150.322,Ball
Gaze Child,150.322,150.975,Partner's controller
Gaze Child,150.975,151.521,Ball
Gaze Child,151.521,151.958,My controller
Gaze Child,151.958,157.941,Ball
Gaze Child,157.941,158.433,Partner's controller
Gaze Child,158.433,158.941,My controller
Gaze Child,158.941,163.71,Ball
