ID,Date,Consent,Team_Name,Selected_Language,Consent_Time_X_axis,Age_X_axis,Companionship_X_axis,Question_Time_X_axis,Consent_Time_Y_axis,Age_Y_axis,Companionship_Y_axis,Question_Time_Y_axis,StartTime,ClosingTime,Completed,TerminationType,LevelSEQ,Track_ID,Difficulty_Level,Track_StartTime,Track_ClosingTime,TrackTime,Mistake,Track_Completed,InterfaceMode_Time,InterfaceMode_Mode,Points_X,Points_Y,Points_Time,Points_Status
20250615-0001,20250615,True,CUF 01,0,11:44:38:319,27,2,11:44:52:166,11:44:45:058,10,2,11:44:52:566,11:44:38:319,11:50:05:413,False,2,123,7,0,11:44:59:523,11:45:48:540,49015,False,True,,,,,,
20250615-0001,20250615,True,CUF 01,0,11:44:38:319,27,2,11:44:52:166,11:44:45:058,10,2,11:44:52:566,11:44:38:319,11:50:05:413,False,2,123,7,0,11:45:59:800,11:46:14:698,14897,False,True,,,,,,
20250615-0001,20250615,True,CUF 01,0,11:44:38:319,27,2,11:44:52:166,11:44:45:058,10,2,11:44:52:566,11:44:38:319,11:50:05:413,False,2,123,7,0,11:46:28:645,11:46:41:743,13096,False,True,,,,,,
20250615-0001,20250615,True,CUF 01,0,11:44:38:319,27,2,11:44:52:166,11:44:45:058,10,2,11:44:52:566,11:44:38:319,11:50:05:413,False,2,123,9,1,11:46:58:876,11:48:23:077,84200,False,True,,,,,,
20250615-0002,20250615,True,CUF 02,1,12:20:46:650,57,1,12:20:52:373,12:20:20:424,54,1,12:20:27:130,12:20:20:424,12:21:18:783,False,0,123,,,,,,,,,
20250615-0002,20250615,True,CUF 02,1,12:20:46:650,57,1,12:20:52:373,12:20:20:424,54,1,12:20:27:130,12:20:20:424,12:21:18:783,False,0,123,1,0,12:20:59:430,12:21:14:545,15114,True,False,,,,,,
20250615-0003,20250615,True,CUF 03,0,12:21:47:761,32,3,12:21:55:836,12:21:27:809,38,3,12:21:38:352,12:21:27:809,12:25:22:509,False,2,123,,,,,,,,,
20250615-0003,20250615,True,CUF 03,0,12:21:47:761,32,3,12:21:55:836,12:21:27:809,38,3,12:21:38:352,12:21:27:809,12:25:22:509,False,2,123,4,0,12:22:03:860,12:22:30:305,26442,False,True,,,,,,
20250615-0003,20250615,True,CUF 03,0,12:21:47:761,32,3,12:21:55:836,12:21:27:809,38,3,12:21:38:352,12:21:27:809,12:25:22:509,False,2,123,9,1,12:22:38:412,12:23:04:471,26059,True,False,,,,,,
20250615-0003,20250615,True,CUF 03,0,12:21:47:761,32,3,12:21:55:836,12:21:27:809,38,3,12:21:38:352,12:21:27:809,12:25:22:509,False,2,123,9,1,12:23:10:494,12:23:40:141,29646,False,True,,,,,,
20250615-0004,20250615,True,CUF 04,0,12:36:53:482,45,3,12:37:00:305,12:36:34:848,35,0,12:36:42:772,12:36:34:848,12:40:45:865,False,0,123,,,,,,,,,
20250615-0004,20250615,True,CUF 04,0,12:36:53:482,45,3,12:37:00:305,12:36:34:848,35,0,12:36:42:772,12:36:34:848,12:40:45:865,False,0,123,6,0,12:37:07:480,12:37:13:268,5788,True,False,,,,,,
20250615-0004,20250615,True,CUF 04,0,12:36:53:482,45,3,12:37:00:305,12:36:34:848,35,0,12:36:42:772,12:36:34:848,12:40:45:865,False,0,123,6,0,12:37:20:960,12:38:16:332,55371,False,True,,,,,,
20250615-0004,,,,,,,,,,,,,,,,,,6,,,,,,,12:37:37:843,1,,,,
20250615-0004,20250615,True,CUF 04,0,12:36:53:482,45,3,12:37:00:305,12:36:34:848,35,0,12:36:42:772,12:36:34:848,12:40:45:865,False,0,123,8,1,12:38:51:050,12:39:23:683,32632,False,True,,,,,,
20250615-0004,20250615,True,CUF 04,0,12:36:53:482,45,3,12:37:00:305,12:36:34:848,35,0,12:36:42:772,12:36:34:848,12:40:45:865,False,0,123,8,1,12:39:31:974,12:39:41:735,9759,False,True,,,,,,
20250615-0004,20250615,True,CUF 04,0,12:36:53:482,45,3,12:37:00:305,12:36:34:848,35,0,12:36:42:772,12:36:34:848,12:40:45:865,False,0,123,11,2,12:40:07:425,12:40:32:350,24924,True,False,,,,,,
20250615-0004,20250615,True,CUF 04,0,12:36:53:482,45,3,12:37:00:305,12:36:34:848,35,0,12:36:42:772,12:36:34:848,12:40:45:865,False,0,123,11,2,12:40:39:007,12:40:43:478,4471,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,,,,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,7,0,12:41:25:921,12:41:26:488,567,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,7,0,12:41:35:898,12:41:37:065,1167,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,7,0,12:41:43:505,12:41:44:272,767,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,7,0,12:41:50:228,12:41:52:130,1901,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,7,0,12:41:58:386,12:42:28:400,30013,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,9,1,12:42:39:361,12:42:54:142,14781,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,9,1,12:43:03:268,12:43:46:194,42925,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:43:55:771,12:44:03:329,7557,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:44:14:139,12:44:19:362,5221,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:44:38:029,12:44:44:069,6039,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:45:14:015,12:45:18:386,4371,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:45:26:828,12:45:32:351,5522,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:45:45:331,12:45:50:168,4837,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:46:00:378,12:46:05:450,5071,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:46:15:878,12:46:18:813,2936,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:46:23:751,12:46:28:491,4738,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:46:33:778,12:46:38:767,4988,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:46:44:889,12:46:49:077,4187,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:46:56:034,12:47:00:255,4220,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:47:06:362,12:47:11:266,4904,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:47:17:972,12:47:22:962,4988,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:47:33:021,12:47:37:541,4520,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:47:42:464,12:47:47:469,5004,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:47:52:441,12:48:04:870,12428,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:48:26:040,12:48:31:431,5388,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:48:36:751,12:48:41:858,5104,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:48:46:644,12:48:51:533,4888,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:48:56:388,12:49:01:159,4771,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:49:06:063,12:49:10:485,4421,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,10,2,12:49:15:807,12:49:38:063,22255,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,8,1,12:49:49:240,12:50:08:943,19702,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,8,1,12:50:15:784,12:50:27:378,11595,False,True,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,2,0,12:50:36:654,12:50:41:359,4704,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,2,0,12:50:47:765,12:50:49:234,1467,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,2,0,12:50:53:871,12:50:54:872,1001,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,2,0,12:51:00:427,12:51:01:512,1084,True,False,,,,,,
20250615-0005,20250615,True,CUF 05,0,12:41:05:084,0,1,12:41:18:130,12:41:04:733,0,0,12:41:18:214,12:40:54:307,12:51:12:356,True,1,123,2,0,12:51:06:000,12:51:08:136,2135,True,False,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,,,,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,1,0,13:11:51:627,13:14:32:638,161010,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,8,1,13:14:47:152,13:16:12:738,85585,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,10,2,13:16:23:181,13:17:35:821,72639,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,12,3,13:17:47:449,13:19:49:787,122338,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,13,3,13:20:03:634,13:24:24:195,260559,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,13,3,13:24:34:088,13:25:39:937,65848,True,False,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,12,3,13:26:01:959,13:27:24:159,82198,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,13,3,13:27:35:069,13:31:15:573,220503,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,9,1,13:31:44:818,13:32:58:641,73823,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,7,0,13:33:30:073,13:34:25:929,55855,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,10,2,13:34:53:908,13:35:43:273,49365,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,9,1,13:36:07:029,13:37:29:062,82031,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,3,0,13:38:22:014,13:39:01:421,39405,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,11,2,13:39:19:506,13:41:15:805,116299,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,12,3,13:41:38:027,13:43:45:188,127159,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,12,3,13:44:02:187,13:45:57:970,115782,False,True,,,,,,
20250615-0006,20250615,True,CUF 06,0,13:11:13:056,41,0,13:11:42:468,13:11:11:454,9,0,13:11:43:836,13:11:11:454,13:46:50:256,True,0,123,8,1,13:46:13:819,13:46:46:301,32482,False,True,,,,,,
20250615-0007,20250615,True,CUF 07,0,14:11:07:378,2,2,14:11:14:536,14:10:34:115,100,2,14:10:45:489,14:10:34:115,14:16:10:515,False,2,123,,,,,,,,,
20250615-0007,20250615,True,CUF 07,0,14:11:07:378,2,2,14:11:14:536,14:10:34:115,100,2,14:10:45:489,14:10:34:115,14:16:10:515,False,2,123,6,0,14:11:22:259,14:11:50:088,27827,False,True,,,,,,
20250615-0007,20250615,True,CUF 07,0,14:11:07:378,2,2,14:11:14:536,14:10:34:115,100,2,14:10:45:489,14:10:34:115,14:16:10:515,False,2,123,9,1,14:12:00:848,14:13:43:935,103086,False,True,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,,,,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,3,0,14:17:29:626,14:17:32:713,3086,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,3,0,14:17:38:686,14:18:16:892,38204,False,True,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,3,0,14:18:24:798,14:18:42:666,17867,False,True,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,9,1,14:18:50:308,14:19:14:432,24123,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,9,1,14:19:21:973,14:20:02:914,40940,False,True,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:20:10:238,14:20:21:665,11428,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:20:26:854,14:20:36:530,9676,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:21:08:079,14:21:31:103,23022,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:21:37:157,14:21:56:528,19369,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:22:02:566,14:22:18:332,15765,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:22:23:705,14:22:35:016,11311,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:22:40:989,14:22:56:972,15982,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:23:02:176,14:23:04:930,2752,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:23:11:369,14:24:04:339,52969,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:24:10:862,14:24:46:565,35702,True,False,,,,,,
20250615-0008,20250615,True,CUF 08,0,14:17:07:488,43,0,14:17:20:885,14:17:04:085,12,0,14:17:22:203,14:17:04:085,14:26:34:673,False,2,123,11,2,14:24:55:574,,0,False,False,,,,,,
20250615-0009,20250615,True,CUF 09,0,14:27:59:992,30,0,14:28:13:871,14:28:00:208,31,0,14:28:12:337,14:27:59:992,14:31:07:112,True,0,123,,,,,,,,,
20250615-0009,20250615,True,CUF 09,0,14:27:59:992,30,0,14:28:13:871,14:28:00:208,31,0,14:28:12:337,14:27:59:992,14:31:07:112,True,0,123,7,0,14:28:23:064,14:28:48:372,25308,True,False,,,,,,
20250615-0009,20250615,True,CUF 09,0,14:27:59:992,30,0,14:28:13:871,14:28:00:208,31,0,14:28:12:337,14:27:59:992,14:31:07:112,True,0,123,7,0,14:28:54:579,14:29:22:124,27544,False,True,,,,,,
20250615-0009,20250615,True,CUF 09,0,14:27:59:992,30,0,14:28:13:871,14:28:00:208,31,0,14:28:12:337,14:27:59:992,14:31:07:112,True,0,123,8,1,14:29:32:967,14:30:14:326,41358,False,True,,,,,,
20250615-0009,20250615,True,CUF 09,0,14:27:59:992,30,0,14:28:13:871,14:28:00:208,31,0,14:28:12:337,14:27:59:992,14:31:07:112,True,0,123,10,2,14:30:23:918,14:30:42:621,18701,True,False,,,,,,
20250615-0009,20250615,True,CUF 09,0,14:27:59:992,30,0,14:28:13:871,14:28:00:208,31,0,14:28:12:337,14:27:59:992,14:31:07:112,True,0,123,10,2,14:30:48:360,14:31:01:491,13129,False,True,,,,,,
20250615-0010,20250615,True,CUF 10,0,14:31:41:146,35,0,14:31:49:003,14:31:46:901,5,0,14:32:02:800,14:31:41:146,14:39:26:178,False,0,123,,,,,,,,,
20250615-0010,20250615,True,CUF 10,0,14:31:41:146,35,0,14:31:49:003,14:31:46:901,5,0,14:32:02:800,14:31:41:146,14:39:26:178,False,0,123,6,0,14:32:09:807,14:32:33:148,23339,True,False,,,,,,
20250615-0010,20250615,True,CUF 10,0,14:31:41:146,35,0,14:31:49:003,14:31:46:901,5,0,14:32:02:800,14:31:41:146,14:39:26:178,False,0,123,6,0,14:32:40:205,14:32:42:340,2135,True,False,,,,,,
20250615-0010,20250615,True,CUF 10,0,14:31:41:146,35,0,14:31:49:003,14:31:46:901,5,0,14:32:02:800,14:31:41:146,14:39:26:178,False,0,123,6,0,14:33:01:926,14:33:02:761,834,True,False,,,,,,
