ID,Date,Consent,Team_Name,Selected_Language,Consent_Time_X_axis,Age_X_axis,Companionship_X_axis,Question_Time_X_axis,Consent_Time_Y_axis,Age_Y_axis,Companionship_Y_axis,Question_Time_Y_axis,StartTime,ClosingTime,Completed,TerminationType,LevelSEQ,Track_ID,Difficulty_Level,Track_StartTime,Track_ClosingTime,TrackTime,Mistake,Track_Completed,InterfaceMode_Time,InterfaceMode_Mode,Points_X,Points_Y,Points_Time,Points_Status
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,,,,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,1,0,11:13:34:242,11:14:29:046,54804,True,False,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,1,0,11:14:35:686,11:15:35:613,59926,False,True,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,9,1,11:15:47:324,11:16:55:125,67801,True,False,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,9,1,11:17:04:151,11:17:48:196,44043,False,True,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,10,2,11:17:58:638,11:18:33:175,34534,False,True,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,12,3,11:18:55:029,11:21:31:235,156205,False,True,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,13,3,11:21:48:318,11:25:33:177,224857,False,True,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,11,2,11:25:48:608,11:26:18:087,29479,True,False,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,11,2,11:26:28:565,11:28:16:273,107707,False,True,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,8,1,11:28:47:453,11:29:13:529,26075,False,True,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,3,0,11:29:26:325,11:29:55:839,29512,False,True,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,8,1,11:30:09:769,11:30:35:261,25492,False,True,,,,,,
20250615-0000,20250615,True,CUF 00,0,11:12:58:405,52,0,11:13:21:963,11:13:01:042,10,0,11:13:18:093,10:21:01:581,11:32:32:662,True,2,123,12,3,11:30:47:306,11:32:11:724,84417,False,True,,,,,,
20250615-0001,20250615,True,CUF 01,0,11:44:38:319,27,2,11:44:52:166,11:44:45:058,10,2,11:44:52:566,11:44:38:319,11:50:05:413,False,2,123,,,,,,,,,
